Name,"LOYOLA UNIVERSITY MARYLAND, INC."
Address,"4501 N CHARLES ST BLDG A BALTIMORE MD 21210"
"Account Number",6959340000

Type,Meter,Date,"Start Time",Usage,"Usage Unit"
"Electric Usage",G159732081-1,2024-01-04,15:00,36.36,kWh
"Electric Usage",G159732081-1,2024-01-04,15:15,35.01,kWh
"Electric Usage",G159732081-1,2024-01-04,15:30,35.83,kWh
"Electric Usage",G159732081-1,2024-01-04,15:45,34.64,kWh
"Electric Usage",G159732081-1,2024-01-04,16:00,35.89,kWh
"Electric Usage",G159732081-1,2024-01-04,16:15,35.35,kWh
"Electric Usage",G159732081-1,2024-01-04,16:30,35.55,kWh
"Electric Usage",G159732081-1,2024-01-04,16:45,35.91,kWh
"Electric Usage",G159732081-1,2024-01-04,17:00,35.6,kWh
"Electric Usage",G159732081-1,2024-01-04,17:15,36.59,kWh
"Electric Usage",G159732081-1,2024-01-04,17:30,35.93,kWh
"Electric Usage",G159732081-1,2024-01-04,17:45,36.64,kWh
"Electric Usage",G159732081-1,2024-01-04,18:00,36.15,kWh
"Electric Usage",G159732081-1,2024-01-04,18:15,36.54,kWh
"Electric Usage",G159732081-1,2024-01-04,18:30,36.32,kWh
"Electric Usage",G159732081-1,2024-01-04,18:45,37.05,kWh
"Electric Usage",G159732081-1,2024-01-04,19:00,38.08,kWh
"Electric Usage",G159732081-1,2024-01-04,19:15,37.64,kWh
"Electric Usage",G159732081-1,2024-01-04,19:30,37.18,kWh
"Electric Usage",G159732081-1,2024-01-04,19:45,36.92,kWh
"Electric Usage",G159732081-1,2024-01-04,20:00,37.81,kWh
"Electric Usage",G159732081-1,2024-01-04,20:15,36.78,kWh
"Electric Usage",G159732081-1,2024-01-04,20:30,36.88,kWh
"Electric Usage",G159732081-1,2024-01-04,20:45,37.31,kWh
"Electric Usage",G159732081-1,2024-01-04,21:00,36.75,kWh
"Electric Usage",G159732081-1,2024-01-04,21:15,37.68,kWh
"Electric Usage",G159732081-1,2024-01-04,21:30,36.99,kWh
"Electric Usage",G159732081-1,2024-01-04,21:45,37.58,kWh
"Electric Usage",G159732081-1,2024-01-04,22:00,36.65,kWh
"Electric Usage",G159732081-1,2024-01-04,22:15,37.18,kWh
"Electric Usage",G159732081-1,2024-01-04,22:30,37.04,kWh
"Electric Usage",G159732081-1,2024-01-04,22:45,37.58,kWh
"Electric Usage",G159732081-1,2024-01-04,23:00,38.32,kWh
"Electric Usage",G159732081-1,2024-01-04,23:15,37.78,kWh
"Electric Usage",G159732081-1,2024-01-04,23:30,37.52,kWh
"Electric Usage",G159732081-1,2024-01-04,23:45,37.83,kWh
"Electric Usage",G159732081-1,2024-01-05,00:00,37.23,kWh
"Electric Usage",G159732081-1,2024-01-05,00:15,38.08,kWh
"Electric Usage",G159732081-1,2024-01-05,00:30,38.8,kWh
